"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 05 07:06:53 UTC 2023","Fri May 05 07:07:00 UTC 2023","7826","","","","","","Logo presence on OrangeHRM home Page",""
"passed","Fri May 05 07:06:44 UTC 2023","Fri May 05 07:06:53 UTC 2023","9021","","","","","","Login to OrangeHRM with valid parameters",""
